Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/CreateCard_razor.g.cs,918,12,T:System.Uri,,,,,primarySentence = Uri.UnescapeDataString(SharedText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/CreateCard_razor.g.cs,882,16,T:System.Uri,,,,,translatedSentence = Uri.UnescapeDataString(Translation);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/CreateCard_razor.g.cs,876,12,T:System.Uri,,,,,primarySentence = Uri.UnescapeDataString(SharedText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/SharedTextSelect_razor.g.cs,272,12,T:System.Uri,,,,,sharedText = Uri.UnescapeDataString(EncodedText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Search_razor.g.cs,1770,12,T:System.Uri,,,,,var encodedTranslation = Uri.EscapeDataString(translation);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Search_razor.g.cs,1765,8,T:System.Uri,,,,,var encodedSource = Uri.EscapeDataString(sourceText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Analysis_razor.g.cs,1560,12,T:System.Uri,,,,,var encodedTranslation = Uri.EscapeDataString(translatedText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Analysis_razor.g.cs,1555,8,T:System.Uri,,,,,var encodedSource = Uri.EscapeDataString(analysisText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Analysis_razor.g.cs,1201,16,T:System.Uri,,,,,translatedText = Uri.UnescapeDataString(EncodedTranslation);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/Analysis_razor.g.cs,1195,12,T:System.Uri,,,,,analysisText = Uri.UnescapeDataString(EncodedText);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/RssFeedWidget_razor.g.cs,747,12,T:System.Net.Http.HttpContent,,,,,var xmlContent = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/RssCarousel_razor.g.cs,341,12,T:System.Net.Http.HttpContent,,,,,var xmlContent = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\obj\Debug\net8.0-android\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/WikiCarousel_razor.g.cs,296,8,T:System.Net.Http.HttpContent,,,,,return await response.Content.ReadFromJsonAsync<WikiArticle>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,235,16,T:System.Net.Http.HttpContent,,,,,var analysisResponse = await response.Content.ReadFromJsonAsync<LexicalAnalysisResponse>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,183,12,T:System.Net.Http.HttpContent,,,,,var aiResult = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,161,12,T:System.Net.Http.HttpContent,,,,,var card = await response.Content.ReadFromJsonAsync<CardDefinition>();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,93,20,T:System.Net.Http.HttpContent,,,,,var translation = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,89,16,T:System.Uri,,,,,"var url = $""/api/Translations?text={Uri.EscapeDataString(text)}&sourceLang={Uri.EscapeDataString(sourceLang)}&targetLang={Uri.EscapeDataString(targetLang)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,89,16,T:System.Uri,,,,,"var url = $""/api/Translations?text={Uri.EscapeDataString(text)}&sourceLang={Uri.EscapeDataString(sourceLang)}&targetLang={Uri.EscapeDataString(targetLang)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,89,16,T:System.Uri,,,,,"var url = $""/api/Translations?text={Uri.EscapeDataString(text)}&sourceLang={Uri.EscapeDataString(sourceLang)}&targetLang={Uri.EscapeDataString(targetLang)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,63,20,T:System.Net.Http.HttpContent,,,,,var result = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,53,12,T:System.Net.Http.HttpContent,,,,,return await response.Content.ReadAsByteArrayAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,50,12,T:System.Uri,,,,,"var url = $""/api/tts?text={Uri.EscapeDataString(text)}&lang={Uri.EscapeDataString(lang)}&voice={voice}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,50,12,T:System.Uri,,,,,"var url = $""/api/tts?text={Uri.EscapeDataString(text)}&lang={Uri.EscapeDataString(lang)}&voice={voice}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,34,20,T:System.Uri,,,,,_httpClient.BaseAddress = new Uri(baseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,34,20,M:System.Uri.#ctor(System.String),,,,,_httpClient.BaseAddress = new Uri(baseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,34,20,T:System.Uri,,,,,_httpClient.BaseAddress = new Uri(baseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,34,20,T:System.Uri,,,,,_httpClient.BaseAddress = new Uri(baseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,34,20,M:System.Uri.#ctor(System.String),,,,,_httpClient.BaseAddress = new Uri(baseUrl);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MauiApp1\Triolingo.csproj,File,MauiApp1\Services\ApiService.cs,34,20,T:System.Uri,,,,,_httpClient.BaseAddress = new Uri(baseUrl);
